Records,FxRate,TimestampEntry
0,125.56,1636745511000
1,125.54,1636745572000
2,125.54,1636745632000
3,125.56,1636745693000
4,125.56,1636745751000
5,125.53,1636745811000
6,125.53,1636745874000
7,125.53,1636745935000
8,125.53,1636745992000
9,125.5,1636746055000
10,125.52,1636746110000
11,125.49,1636746176000
12,125.48,1636746237000
13,125.47,1636746296000
14,125.45,1636746357000
15,125.47,1636746418000
16,125.48,1636746473000
17,125.48,1636746538000
18,125.49,1636746598000
19,125.48,1636746660000
20,125.49,1636746720000
21,125.49,1636746781000
22,125.49,1636746842000
23,125.5,1636746901000
24,125.5,1636746961000
25,125.5,1636747024000
26,125.5,1636747083000
27,125.49,1636747143000
28,125.53,1636747205000
29,125.5,1636747266000
30,125.47,1636747326000
31,125.48,1636747387000
32,125.48,1636747443000
33,125.47,1636747505000
34,125.48,1636747569000
35,125.48,1636747629000
36,125.47,1636747690000
37,125.46,1636747748000
38,125.47,1636747810000
39,125.45,1636747872000
40,125.43,1636747933000
41,125.43,1636747993000
42,125.44,1636748053000
43,125.43,1636748114000
44,125.47,1636748572000
45,125.47,1636748633000
46,125.45,1636748693000
47,125.47,1636748753000
48,125.46,1636748816000
49,125.45,1636748872000
50,125.46,1636748929000
51,125.46,1636748997000
52,125.45,1636749057000
53,125.44,1636749115000
54,125.44,1636749176000
55,125.41,1636749239000
56,125.45,1636749297000
57,125.42,1636749355000
58,125.43,1636749419000
59,125.43,1636749480000
60,125.43,1636749541000
61,125.44,1636749601000
62,125.44,1636749662000
63,125.44,1636749723000
64,125.44,1636749782000
65,125.43,1636749844000
66,125.41,1636749903000
67,125.46,1636750054000
68,125.44,1636750115000
69,125.45,1636750175000
70,125.46,1636750808000
71,125.46,1636750867000
72,125.44,1636750929000
73,125.45,1636750990000
74,125.45,1636751051000
75,125.45,1636751128000
