Records,FxRate,TimestampEntry,,NewColumn
0,125.56,1.63675E+12,,
1,125.54,1.63675E+12,,
2,125.54,1.63675E+12,,
3,125.56,1.63675E+12,,
4,125.56,1.63675E+12,,
5,125.53,1.63675E+12,,
6,125.53,1.63675E+12,,
7,125.53,1.63675E+12,,
8,,,,
9,125.5,1.63675E+12,,
10,125.52,1.63675E+12,,
11,125.49,1.63675E+12,,
12,125.48,1.63675E+12,,
13,125.47,1.63675E+12,,
14,125.45,1.63675E+12,,
15,125.47,,,
16,125.48,1.63675E+12,,
17,125.48,1.63675E+12,,
18,125.49,1.63675E+12,,
19,125.48,1.63675E+12,,
20,,1.63675E+12,,
21,125.49,1.63675E+12,,
22,125.49,1.63675E+12,,
23,125.5,1.63675E+12,,
24,,1.63675E+12,,
25,125.5,1.63675E+12,,
26,125.5,1.63675E+12,,
27,125.49,1.63675E+12,,
28,125.53,1.63675E+12,,
29,125.5,1.63675E+12,,
30,125.47,1.63675E+12,,
31,125.48,1.63675E+12,,
32,125.48,1.63675E+12,,
33,125.47,1.63675E+12,,
34,125.48,1.63675E+12,,
35,125.48,1.63675E+12,,
36,125.47,1.63675E+12,,
37,125.46,1.63675E+12,,
38,125.47,1.63675E+12,,
39,125.45,1.63675E+12,,
40,125.43,1.63675E+12,,
41,,1.63675E+12,,
42,125.44,1.63675E+12,,
43,125.43,1.63675E+12,,
44,125.47,1.63675E+12,,
45,125.47,,,
46,125.45,1.63675E+12,,
47,125.47,1.63675E+12,,
48,125.46,1.63675E+12,,
49,125.45,1.63675E+12,,
50,125.46,1.63675E+12,,
51,125.46,1.63675E+12,,
52,125.45,,,
53,125.44,1.63675E+12,,
54,125.44,1.63675E+12,,
55,125.41,1.63675E+12,,
56,125.45,1.63675E+12,,
57,125.42,1.63675E+12,,
58,125.43,1.63675E+12,,
59,125.43,1.63675E+12,,
60,125.43,1.63675E+12,,
61,125.44,1.63675E+12,,
62,,,,
63,125.44,1.63675E+12,,
64,125.44,1.63675E+12,,
65,125.43,1.63675E+12,,
66,125.41,1.63675E+12,,
67,125.46,1.63675E+12,,
68,125.44,1.63675E+12,,
69,,,,
70,125.46,1.63675E+12,,
71,125.46,1.63675E+12,,
72,125.44,1.63675E+12,,
73,125.45,1.63675E+12,,
74,125.45,1.63675E+12,,
75,125.45,1.63675E+12,,
